name,latex,category,average,error,measurements
BR_Lambdab0_SigmacS02520_p_p-.BR_SigmacS02520_Lambdac+_pi-.-BR_Lambdab0_Lambdac+_p_p-_pi-,\frac { {\cal{B}} ( \Lambda_b^{0} \to \Sigma_c(2520)^{*0} p \bar{p} ) \times {\cal{B}} ( \Sigma_c(2520)^{*0} \to \Lambda_c^{+} \pi^{-} )  }{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} p \bar{p} \pi^{-} ) },Bbaryon/baryon,1.19,0.2441311123222267,"[{'value': 1.19, 'error': 0.2814249455894058}]"
BR_Lambdab0_pi-_pi-_pi+_Lambdac+,{\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{+} \pi^{-} \pi^{-} ),Bbaryon/baryon,0.268,0.11555358447268929,"[{'value': 0.268, 'error': 0.16088470580151676}]"
BR_Lambdab0_pi-_Lambdac+2940.BR_Lambdac+2940_D0_p.-BR_Lambdab0_pi-_Lambdac+2880.BR_Lambdac+2880_D0_p,\frac{{\cal{B}} ( \Lambda_b^{0} \to \Lambda_c(2940)^{+} \pi^{-} ) \times {\cal{B}} ( \Lambda_c(2940)^{+} \to D^0 p ) }{{\cal{B}} ( \Lambda_b^{0} \to \Lambda_c(2880)^{+} \pi^{-} ) \times {\cal{B}} ( \Lambda_c(2880)^{+} \to D^0 p ) },Bbaryon/baryon,8.350836872916249,2.8404940196406283,"[{'value': 8.3, 'error': 2.8915114239489785}]"
BR_Lambdab0_pi-_Lambdac+2860.BR_Lambdac+2860_D0_p.-BR_Lambdab0_pi-_Lambdac+2880.BR_Lambdac+2880_D0_p,\frac{{\cal{B}} ( \Lambda_b^{0} \to \Lambda_c(2860)^{+} \pi^{-} ) \times {\cal{B}} ( \Lambda_c(2860)^{+} \to D^0 p ) }{{\cal{B}} ( \Lambda_b^{0} \to \Lambda_c(2880)^{+} \pi^{-} ) \times {\cal{B}} ( \Lambda_c(2880)^{+} \to D^0 p ) },Bbaryon/baryon,4.513040595116205,0.859383701731316,"[{'value': 4.51, 'error': 0.5108884136010838}]"
BR_Lambdab0_pi-_Lambdac+2625.-BR_Lambdab0_pi-_pi-_pi+_Lambdac+.BR_Lambdac+2625_pi-_pi+_Lambdac+,\frac{{\cal{B}} ( \Lambda_b^{0} \to \Lambda_c(2625)^{+} \pi^{-} ) \times {\cal{B}} ( \Lambda_c(2625)^{+} \to \Lambda_c^{+} \pi^{+} \pi^{-} ) }{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{+} \pi^{-} \pi^{-} )},Bbaryon/baryon,0.43,0.1552417469629544,"[{'value': 0.43, 'error': 0.160312195418814}]"
BR_Lambdab0_Lambdac+_K-.BR_Lambdab0_Lambdac+_pi-,\frac{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} K^{-} )  }{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{-} )  },Bbaryon/baryon,0.0731,0.002262741699796952,"[{'value': 0.0731, 'error': 0.0027712812921102037}]"
BR_Xib_Lambdab0_pi-,\frac{f_{\Xi_b^{-}}}{f_{\Lambda_b^{0}}} \times {\cal{B}} ( \Xi_b^{-} \to \Lambda_b^{0}\pi^{-}),Bbaryon/baryon,0.0057,0.0019907731678422726,"[{'value': 0.0057, 'error': 0.0021652849655258953}]"
BR_Lambdab0_Sigmac02455_p_p-.BR_Sigmac02455_Lambdac+_pi-.-BR_Lambdab0_Lambdac+_p_p-_pi-,\frac{ {\cal{B}} ( \Lambda_b^{0} \to \Sigma_c(2455)^{0} p \bar{p} ) \times {\cal{B}} ( \Sigma_c(2455)^0 \to \Lambda_c^{+} \pi^{-} )  }{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} p \bar{p} \pi^{-} ) },Bbaryon/baryon,0.89,0.16155494421388733,"[{'value': 0.89, 'error': 0.17233687939614087}]"
BR_Lambdab0_Lambdac+_pi-.-BR_B0bar_pi-_D+,\frac{{\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{-} )}{{\cal{B}} ( \bar{B}^{0} \to D^{+} \pi^{-} )},Bbaryon/baryon,3.3143729184144393,7.89560362149315,"[{'value': 3.3, 'error': 1.2727922061357855}]"
BR_Lambdab0_pi-_pi+_Sigmac0.-BR_Lambdab0_pi-_pi-_pi+_Lambdac+.BR_Sigmac0_pi-_Lambdac+,\frac{{\cal{B}} ( \Lambda_b^{0} \to \Sigma_c^{0} \pi^{+} \pi^{-} ) \times {\cal{B}} ( \Sigma_c^{0} \to \Lambda_c^{+} \pi^{-} ) }{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{+} \pi^{-} \pi^{-} )},Bbaryon/baryon,0.7400000000000001,0.2683281572621768,"[{'value': 0.7400000000000001, 'error': 0.29393876913398137}]"
BR_Lambdab0_pi-_pi-_pi+_Lambdac+.-BR_Lambdab0_pi-_Lambdac+,\frac{{\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{+} \pi^{-} \pi^{-} ) }{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{-} )},Bbaryon/baryon,1.5807359217767072,0.19626665337673566,"[{'value': 1.43, 'error': 0.24372115213907883}, {'value': 3.04, 'error': 0.9442148728616212}]"
BR_Lambdab0_Lambdac+_D-.BR_Lambdab0_Lambdac+_Ds-,\frac{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} D^{-} )  }{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} D_s^{-} )  },Bbaryon/baryon,0.042,0.004242640687119285,"[{'value': 0.042, 'error': 0.005196152422706632}]"
BR_Lambdab0_pi-_pi-_Sigmac++.-BR_Lambdab0_pi-_pi-_pi+_Lambdac+.BR_Sigmac++_pi-_Lambdac+,\frac{{\cal{B}} ( \Lambda_b^{0} \to \Sigma_c^{++} \pi^{-} \pi^{-} ) \times {\cal{B}} ( \Sigma_c^{++} \to \Lambda_c^{+} \pi^{+} ) }{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{+} \pi^{-} \pi^{-} )},Bbaryon/baryon,0.42,0.1931320791624941,"[{'value': 0.42000000000000004, 'error': 0.2054263858417414}]"
BR_Lambdab0_Lambdac+_p_p-_pi-.BR_Lambdab0_Lambdac+_pi-,\frac{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} p \bar{p} \pi^{-} )  }{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{-} )  },Bbaryon/baryon,0.54,0.0394081209904755,"[{'value': 0.54, 'error': 0.05076416058598822}]"
BR_Lambdab0_Lambdac+_pi-,{\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{-} ),Bbaryon/baryon,0.04259616291564476,0.0011904332976906994,"[{'value': 0.043, 'error': 0.0030819811308120558}]"
BR_Lambdab0_pi-_Lambdac+2595.-BR_Lambdab0_pi-_pi-_pi+_Lambdac+.BR_Lambdac+2595_pi-_pi+_Lambdac+,\frac{{\cal{B}} ( \Lambda_b^{0} \to \Lambda_c(2595)^{+} \pi^{-} ) \times {\cal{B}} ( \Lambda_c(2595)^{+} \to \Lambda_c^{+} \pi^{+} \pi^{-} ) }{ {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{+} \pi^{-} \pi^{-} )},Bbaryon/baryon,0.44000000000000006,0.17743756630345237,"[{'value': 0.44000000000000006, 'error': 0.1845823643358446}]"
BR_Xib0_D0_p_pi.BR_D0_K_pi.-BR_Xib0_Lambdac_pi.BR_Lambdac_p_K_pi,\frac{ {\cal{B}} ( \Xi_b^{0} \to \Lambda_c^{+} K^{-} )   \times   {\cal{B}}  (\Lambda_c^{+} \to  p K^{-} \pi^{+}) } { {\cal{B}} ( \Xi_b^{0} \to D^{0} p K^{-})  \times {\cal{B}} ( D^{0} \to K^{+} \pi^{-} ) },Bbaryon/baryon,0.57,0.304138126510236,"[{'value': 0.57, 'error': 0.3695943722515265}]"
BR_Lambdab0_pi-_Pc4450+.-BR_Lambdab0_K-_Pc4450+,\frac{ {\cal{B}} ( \Lambda_b^0 \to \pi^- P_c(4450)^+ ) }{ {\cal{B}} ( \Lambda_b^0 \to K^- P_c(4450)^+ ) },Bbaryon/other,0.2728872562336826,0.15338755357394823,"[{'value': 0.33, 'error': 0.22951374249436746}]"
